,TERTIAIRE,INDUSTRIE,AGRICULTURE,INCONNU,departement,year
101,84580.292,164206.687,17632.256,0.0,08,2018
102,20241.307,22554.444000000003,18.106,0.0,09,2018
103,143175.106,129166.954,14402.442000000001,0.0,10,2018
104,86758.061,47841.572,909.701,0.0,11,2018
105,53773.093,16704.241,43.499,0.0,12,2018
106,1233988.539,262492.748,6251.127,104.342,13,2018
107,257468.301,217971.789,2261.258,0.0,14,2018
108,42243.604,13624.818,0.0,0.0,15,2018
109,82291.004,29920.338,622.654,0.0,16,2018
110,208783.66,69000.156,6400.247,32.616,17,2018
111,88267.78,62937.850999999995,1030.529,0.0,18,2018
112,59410.251000000004,24778.52,55.737,0.0,19,2018
113,331739.021,206920.472,4154.375,0.0,21,2018
114,150124.174,114325.406,5162.873,0.0,22,2018
115,21854.669,12461.917,190.6,0.0,23,2018
116,71551.866,10840.241,3077.588,0.0,24,2018
117,264826.339,311663.013,2711.506,16.504,25,2018
118,159157.047,135840.945,3307.891,0.0,26,2018
119,107156.996,203693.24599999998,5921.547,0.0,27,2018
120,107129.677,153289.446,21669.997,0.0,28,2018
121,252145.102,92764.322,4538.9619999999995,0.0,29,2018
122,192517.762,80227.356,2977.341,0.0,30,2018
123,1090473.061,508856.345,2108.034,0.0,31,2018
124,25026.499,15740.208,652.462,0.0,32,2018
125,875970.301,330488.264,39348.087,0.0,33,2018
126,482559.776,85352.032,2946.936,0.0,34,2018
127,467400.569,308503.878,1738.304,0.0,35,2018
128,61624.606,132616.142,1436.09,28.967,36,2018
129,302487.076,233202.539,7605.511,0.0,37,2018
130,493375.523,701059.0750000001,2556.193,0.0,38,2018
131,103310.676,135903.375,10499.626,0.0,39,2018
132,171754.557,113568.015,10120.88,116.714,40,2018
133,123930.48300000001,188409.74,7096.879,0.0,41,2018
134,293774.412,370741.85,894.836,0.0,42,2018
135,34031.655,15733.029,41.037,0.0,43,2018
136,727828.937,569311.135,10104.282,84.654,44,2018
137,403057.563,306018.018,14834.873,23082.594,45,2018
138,28361.706,16255.476,0.0,0.0,46,2018
139,59196.35,23414.106,304.113,0.0,47,2018
140,9212.014,1451.603,339.009,0.0,48,2018
141,303301.089,208533.68600000002,8486.083,0.0,49,2018
142,133646.312,65923.713,6338.2519999999995,0.0,50,2018
143,318121.984,320718.347,21808.728,0.0,51,2018
144,54275.331,166765.287,527.361,0.0,52,2018
145,130864.112,163059.339,710.495,0.0,53,2018
146,372656.893,192362.319,725.648,0.0,54,2018
147,69035.454,58564.626,1762.836,109.912,55,2018
148,161890.962,61465.141,2571.819,0.0,56,2018
149,169309.513,176268.285,4911.118,0.0,57,2018
150,64960.444,51864.527,834.752,0.0,58,2018
151,1396536.1,1151426.281,47245.795,0.0,59,2018
152,244722.183,322241.607,4194.724,0.0,60,2018
153,70430.469,69420.888,77.371,0.0,61,2018
154,380855.066,436957.825,48991.311,0.0,62,2018
155,279955.865,125222.155,438.523,0.0,63,2018
156,257156.353,113386.971,6469.265,0.0,64,2018
157,103530.573,32711.564,1307.632,0.0,65,2018
158,168199.203,43972.161,3517.399,0.0,66,2018
159,45253.193,92454.211,3602.4880000000003,31.579,67,2018
160,422633.049,310754.531,6316.701,0.0,68,2018
161,1949431.696,810197.788,3759.876,90.41499999999999,69,2018
162,47006.847,62689.071,1031.1490000000001,0.0,70,2018
163,184939.607,167901.672,1646.6979999999999,0.0,71,2018
164,189184.492,124224.017,267.66,0.0,72,2018
165,187717.807,96416.663,167.685,0.0,73,2018
166,511307.687,499104.596,3200.311,302.95799999999997,74,2018
167,5779718.245,419762.553,3019.4339999999997,7937.857,75,2018
168,528117.003,445879.416,25629.69,0.0,76,2018
169,876594.526,358986.759,7061.446,2031.357,77,2018
170,1272245.165,413720.061,2121.267,83.543,78,2018
171,103275.584,35054.888,173.99599999999998,0.0,79,2018
172,169460.741,200871.494,29721.325,0.0,80,2018
173,90014.566,51027.698,226.78,0.0,81,2018
174,110095.055,47170.672,5422.136,0.0,82,2018
175,317967.548,47553.804,6005.499,0.0,83,2018
176,203027.633,63001.737,8694.563,0.0,84,2018
177,184534.79,131517.384,8130.651,0.0,85,2018
178,173274.501,68525.923,660.3520000000001,0.0,86,2018
179,181583.525,79971.466,35.588,87.433,87,2018
180,195165.793,367000.54,2505.182,0.0,88,2018
181,121115.991,180668.617,6623.1359999999995,0.0,89,2018
182,56624.705,67597.523,1279.807,0.0,90,2018
183,969648.221,251994.303,2951.897,28.692,91,2018
184,2987729.28,613769.449,545.25,122.841,92,2018
185,1948181.5320000001,372493.528,7869.626,0.0,93,2018
186,1550535.382,398872.59,263.949,53.989,94,2018
187,790074.53,301967.925,1698.952,0.0,95,2018
188,227746.84100000001,261783.861,4993.501,162.794,01,2020
189,124637.205,210939.617,9608.548999999999,122.596,02,2020
190,104241.058,119437.426,653.677,0.0,03,2020
191,20121.400999999998,52917.885,34.713,0.0,04,2020
192,31029.399,5637.72,226.384,137.428,05,2020
193,1131609.694,176537.31,1451.536,2027.734,06,2020
194,41565.16,64699.796,224.514,0.0,07,2020
195,84359.535,154575.422,1780.081,4.593,08,2020
196,22381.648,22823.337,28.905,134.488,09,2020
197,132847.391,155416.449,15616.643,115.615,10,2020
198,98454.649,47154.762,913.13,143.016,11,2020
199,48621.837,14312.757,42.948,0.0,12,2020
200,1216261.039,269805.682,6776.969,188.93,13,2020
201,249211.522,225961.985,1850.626,128.236,14,2020
202,40461.945,12555.005000000001,45.396,0.0,15,2020
203,87533.171,58254.528999999995,779.643,0.0,16,2020
204,193550.958,77239.641,6777.687,241.542,17,2020
205,84055.742,64980.545999999995,1080.967,24.671000000000003,18,2020
206,57867.167,21831.153000000002,46.765,0.0,19,2020
207,310250.162,199032.412,4976.228,162.39399999999998,21,2020
208,164293.137,121142.234,5975.521,106.74600000000001,22,2020
209,23704.01,12667.896,129.326,0.0,23,2020
210,54091.148,11532.471,3628.468,0.0,24,2020
211,261649.164,271927.74,2718.79,534.941,25,2020
212,163877.129,124784.388,4085.358,0.0,26,2020
213,121873.037,175936.513,7516.561,89.073,27,2020
214,101757.917,140139.59,28248.281,158.276,28,2020
215,234311.436,95935.529,5465.935,507.653,29,2020
216,189693.369,73524.858,3448.569,375.956,30,2020
217,1053932.5050000001,490100.728,2989.263,163.877,31,2020
218,27035.827,12605.207,769.403,0.809,32,2020
219,827166.884,302795.08,44976.971,402.56,33,2020
220,479072.659,89062.798,2219.613,346.693,34,2020
221,456163.156,292393.328,1792.696,225.662,35,2020
222,59319.558,125384.495,1525.796,0.0,36,2020
223,283234.93,230832.507,8528.734,48.384,37,2020
224,476781.33,432245.754,5949.397,509.621,38,2020
225,92557.906,138180.332,1897.206,141.38699999999997,39,2020
226,180363.181,180611.101,28504.606,60.228,40,2020
227,121184.185,157892.071,8664.164999999999,181.44400000000002,41,2020
228,273446.901,341918.961,1343.824,677.7570000000001,42,2020
229,38720.172,13663.925000000001,105.339,188.00400000000002,43,2020
230,668297.004,520041.801,14742.027,653.139,44,2020
231,379870.428,292632.014,17567.349,89.157,45,2020
232,25349.078,15035.714,0.0,31.905,46,2020
233,58004.714,28284.953,360.342,0.0,47,2020
234,8749.792,1468.042,343.115,0.0,48,2020
235,300135.154,201696.859,9420.797,37.136,49,2020
236,122421.74,59412.556,7787.878000000001,74.967,50,2020
237,299782.296,309522.986,20503.584,98.426,51,2020
238,51537.161,150696.274,1069.959,94.266,52,2020
239,111478.664,193149.921,1355.8419999999999,108.742,53,2020
240,358691.743,210720.268,2313.371,29.267,54,2020
241,68480.049,67109.917,2704.329,0.0,55,2020
242,146052.997,60940.795,2618.0950000000003,309.332,56,2020
243,162139.042,151586.566,4919.02,128.603,57,2020
244,61058.868,49978.575,1075.0040000000001,0.0,58,2020
245,1216353.964,1021460.5599999999,53214.266,1255.337,59,2020
246,239061.501,265248.75,4582.139,344.361,60,2020
247,66686.558,45081.527,37.327,19112.956,61,2020
248,353811.791,470287.704,54438.399,254.849,62,2020
249,275374.094,106484.485,1279.521,147.197,63,2020
250,248397.975,108023.702,6803.536,811.8580000000001,64,2020
251,74481.674,34211.651,1897.784,0.0,65,2020
252,157153.795,51061.234,2080.589,0.0,66,2020
253,40717.574,86072.295,3855.947,59.384,67,2020
254,396230.554,337346.472,7087.184,2.361,68,2020
255,1848543.0489999999,721017.725,4199.339,601.292,69,2020
256,44631.436,57896.021,2138.976,11.514,70,2020
257,171730.124,156782.068,1761.173,79.77199999999999,71,2020
258,185025.511,99414.599,318.194,314.539,72,2020
259,183418.872,95675.45599999999,168.39100000000002,134.556,73,2020
260,489299.98099999997,484572.50800000003,3862.3559999999998,954.8820000000001,74,2020
261,4941856.644,381123.523,974.845,4247.965,75,2020
262,498967.881,416034.32399999996,14812.427,285.021,76,2020
263,829700.781,320841.373,8053.023,393.876,77,2020
264,1177778.85,376529.617,1836.69,714.213,78,2020
265,96422.227,36107.358,164.63,0.0,79,2020
266,161113.147,238015.905,47875.414,6332.868,80,2020
267,83406.859,51132.084,266.926,41.741,81,2020
268,102346.789,31396.069,5934.246,81.422,82,2020
269,323853.076,52293.159999999996,8046.934,461.84999999999997,83,2020
270,195931.149,92936.462,11993.406,243.176,84,2020
271,198491.456,141524.372,8186.486,402.877,85,2020
272,182976.349,79938.057,812.178,186.095,86,2020
273,162206.646,83397.206,163.999,58.618,87,2020
274,198393.922,351261.35599999997,2460.593,84.226,88,2020
275,89958.114,169743.359,6905.509,4.755,89,2020
276,51525.367,55885.088,1702.891,0.0,90,2020
277,912281.176,280203.442,3232.225,171.28300000000002,91,2020
278,2544060.256,601251.077,420.719,1350.745,92,2020
279,1838255.572,377767.58,748.6600000000001,626.796,93,2020
280,1441172.669,397810.707,292.423,550.058,94,2020
281,709269.706,262839.137,1956.585,159.005,95,2020
282,242970.005,254062.971,5830.842,126.63499999999999,01,2021
283,124497.627,193102.404,8124.588,102.429,02,2021
284,102358.186,126317.726,1493.431,0.0,03,2021
285,19583.536,50593.697,56.69,0.0,04,2021
286,28161.606,5718.953,248.19099999999997,0.0,05,2021
287,1096172.785,179355.308,1470.27,2719.613,06,2021
288,40847.422,61278.816,157.04999999999998,8.702,07,2021
289,74320.694,141894.583,1050.695,21.426,08,2021
290,18509.56,20778.599,18.653,78.518,09,2021
291,128870.328,151408.712,8073.994,0.0,10,2021
292,104745.459,27814.130999999998,791.868,5.351,11,2021
293,47495.871,14115.414,111.25,7.689,12,2021
294,1137110.357,254416.065,5441.266,59.277,13,2021
295,252897.166,232585.63999999998,1577.559,260.856,14,2021
296,39814.717,12023.702,100.291,0.0,15,2021
297,87079.575,58235.891,1137.211,0.0,16,2021
298,192480.646,99856.224,6285.133,0.0,17,2021
299,87320.976,66744.054,996.098,34.835,18,2021
300,44048.868,25400.098,0.0,0.0,19,2021
301,314294.119,191665.43099999998,5428.972,19.567,21,2021
302,139314.978,80535.162,5754.461,45.97,22,2021
303,23590.609,12482.661,142.601,0.0,23,2021
304,52163.962,11770.283,3305.548,0.0,24,2021
305,260826.168,281660.164,3465.593,45.02,25,2021
306,149525.76,115358.219,3993.569,0.0,26,2021
307,122586.013,175846.34100000001,5472.168,98.521,27,2021
308,98822.96,137252.78399999999,13056.711,0.0,28,2021
309,230350.86,97386.423,5273.001,9.457,29,2021
310,188942.189,75873.749,2102.827,70.22399999999999,30,2021
311,1007883.133,493821.407,2358.536,67.407,31,2021
312,26979.322,11463.427,723.933,0.0,32,2021
313,801728.063,310886.221,38420.506,230.411,33,2021
314,463560.874,83256.34,1690.772,0.0,34,2021
315,453265.169,293155.298,2230.438,0.0,35,2021
316,64371.699,125130.23000000001,1395.134,0.0,36,2021
317,265807.504,226001.567,7582.589,81.026,37,2021
318,452340.541,391708.354,5095.699,176.217,38,2021
319,89507.007,130811.215,2160.871,11.151000000000002,39,2021
320,164903.27,173272.873,8724.035,70.88,40,2021
321,106437.843,151146.77,5931.501,0.0,41,2021
322,284089.104,339006.112,1711.1879999999999,526.392,42,2021
323,40782.931,15774.355,46.802,53.119,43,2021
324,693434.679,523801.26900000003,17636.023,431.041,44,2021
325,376591.622,298836.062,13040.33,49.743,45,2021
326,25207.634,15739.824,0.0,0.0,46,2021
327,49970.576,30268.361,267.389,0.0,47,2021
328,9379.133,1646.702,309.825,0.0,48,2021
329,297904.395,178885.987,6333.137,7.081,49,2021
330,117527.493,66401.439,7491.692,69.321,50,2021
331,295634.963,228015.285,16949.087,0.0,51,2021
332,44971.753,141667.75,928.159,115.5,52,2021
333,116419.164,179796.518,153.329,82.72,53,2021
334,367891.104,184763.65,2268.189,0.0,54,2021
335,51862.638,55470.312,2602.508,0.0,55,2021
336,145016.94700000001,58626.341,2235.248,62.974000000000004,56,2021
337,148668.764,150904.032,3896.994,0.0,57,2021
338,61951.539,44234.717,949.601,0.0,58,2021
339,1274981.752,1002506.51,51325.879,1169.891,59,2021
340,239254.266,259578.718,3550.156,291.192,60,2021
341,65612.843,42820.520000000004,1.906,18182.186,61,2021
342,352711.281,442472.767,50299.02,121.068,62,2021
343,276329.991,114762.89300000001,919.763,31.604,63,2021
344,240449.163,98230.047,6251.16,92.86500000000001,64,2021
345,69486.685,33745.764,1594.336,0.0,65,2021
346,151733.008,51221.253,1813.85,0.0,66,2021
347,44059.609,84843.981,3671.804,4.793,67,2021
348,398821.101,360598.671,5282.939,8.535,68,2021
349,1800448.264,637009.993,3098.3160000000003,340.642,69,2021
350,45332.317,70185.177,1974.05,25.982,70,2021
351,173016.093,159497.886,1679.927,19.65,71,2021
352,191307.979,114254.496,232.071,264.4,72,2021
353,187487.685,96667.509,294.883,128.377,73,2021
354,507841.326,520947.193,4356.155,1044.592,74,2021
355,4948146.254,415255.194,1210.599,3751.776,75,2021
356,501566.494,385611.391,14452.33,93.027,76,2021
357,903574.881,309603.175,5217.497,440.841,77,2021
358,1150034.465,411859.18,1223.563,417.4,78,2021
359,75526.567,39172.821,147.19,0.0,79,2021
360,167285.811,240644.442,40114.102,7289.664,80,2021
361,80949.441,55578.295,217.965,10.441,81,2021
362,93538.4,24532.606,4945.779,0.0,82,2021
