,region,year,consumption_per_resident
0,11,2019,1.5496787609203977
1,24,2019,0.8800610992657126
2,27,2019,0.8593732459192267
3,28,2019,0.6507532876400229
4,32,2019,0.7984467711778825
5,44,2019,0.7069328965649337
6,52,2019,0.7432131657955023
7,53,2019,0.4918331101067193
8,75,2019,0.5519942490405348
9,76,2019,0.6000343006495198
10,84,2019,0.9176353034066462
11,93,2019,0.7474481301704743
12,11,2018,1.5768518430140028
13,24,2018,0.8702984510013844
14,27,2018,0.8518843238454409
15,28,2018,0.6438381390838618
16,32,2018,0.8032972810982514
17,44,2018,0.706560180033365
18,52,2018,0.7228341662627669
19,53,2018,0.4822561254566759
20,75,2018,0.5387721454170942
21,76,2018,0.5796552253625535
22,84,2018,0.938160905937027
23,93,2018,0.7227112804394836
24,11,2020,1.4200304494456586
25,24,2020,0.8188694261690491
26,27,2020,0.7871040448759353
27,28,2020,0.6117495130264897
28,32,2020,0.7464284321013666
29,44,2020,0.6892164904991537
30,52,2020,0.6952454101259506
31,53,2020,0.4720330469504045
32,75,2020,0.5425353934905995
33,76,2020,0.5587820158753207
34,84,2020,0.8653446196523481
35,93,2020,0.7073566610228788
36,11,2021,1.419148810811701
37,24,2021,0.7952564499675983
38,27,2021,0.794039279639663
39,28,2021,0.6050919654654792
40,32,2021,0.743172821889902
41,44,2021,0.6463064522121948
42,52,2021,0.6963820690620528
43,53,2021,0.44975104583142317
44,75,2021,0.5264371643137857
45,76,2021,0.5399858800563985
46,84,2021,0.8487994373512119
47,93,2021,0.6739301560246319
48,11,2022,2.2454507229013294
49,24,2022,2.474979141553413
50,27,2022,2.6025103696065974
51,28,2022,2.7224978616189657
52,32,2022,2.382788536377325
53,44,2022,1.945495719088501
54,52,2022,2.6633042444734367
55,53,2022,2.7082310578979945
56,75,2022,2.113723816065423
57,76,2022,1.9341806202573137
58,84,2022,2.6357040988125253
59,93,2022,2.1199181919407533
60,11,2023,2.1396594350717653
61,24,2023,2.3133834008843235
62,27,2023,2.477791572494515
63,28,2023,2.620074542129818
64,32,2023,2.2777158043921277
65,44,2023,1.8450340253451265
66,52,2023,2.574776449893325
67,53,2023,2.594766873398337
68,75,2023,1.998761161815007
69,76,2023,1.8259561274980551
70,84,2023,2.5078846351557202
71,93,2023,2.020057708775336
