,department,year,consumption_per_resident
0,01,2019,0.786977711851862
1,02,2019,0.7185275703121796
2,03,2019,0.7229959587569941
3,04,2019,0.45906513068567556
4,05,2019,0.2827494920132955
5,06,2019,1.3171641294219592
6,07,2019,0.34151161122022705
7,08,2019,0.9753081063879585
8,09,2019,0.3137440149096687
9,10,2019,0.9476400364915938
10,11,2019,0.4216768071470863
11,12,2019,0.24410646899305233
12,13,2019,0.7556641121029322
13,14,2019,0.7248834114097173
14,15,2019,0.39135889921842293
15,16,2019,0.33040489825637204
16,17,2019,0.44122693902239923
17,18,2019,0.5226163585415596
18,19,2019,0.36257536342131863
19,21,2019,1.036527459101699
20,22,2019,0.4410571820910536
21,23,2019,0.3274420555711792
22,24,2019,0.2124287475395874
23,25,2019,1.0752121109428934
24,26,2019,0.5993980028627214
25,27,2019,0.5431067205725685
26,28,2019,0.6554665931371981
27,29,2019,0.3866054699285964
28,30,2019,0.378676453373619
29,31,2019,1.174687313693262
30,32,2019,0.22405735699868043
31,33,2019,0.7697568763325816
32,34,2019,0.5170947967697477
33,35,2019,0.7339149990797771
34,36,2019,0.9091268967375544
35,37,2019,0.9316474552007724
36,38,2019,0.7393760303225895
37,39,2019,0.9711176669259228
38,40,2019,0.7912702512637053
39,41,2019,0.967620762018824
40,42,2019,0.8740191768635875
41,43,2019,0.24950044125970577
42,44,2019,0.9184781599759502
43,45,2019,1.0825701342262184
44,46,2019,0.2535794047030324
45,47,2019,0.27265318558469914
46,48,2019,0.1468201099661743
47,49,2019,0.657471681406215
48,50,2019,0.402548299404177
49,51,2019,1.141571605829496
50,52,2019,1.2486646156702508
51,53,2019,0.9572477733473448
52,54,2019,0.7698547224794147
53,55,2019,0.7722896189596901
54,56,2019,0.31412039972448635
55,57,2019,0.33067315292502275
56,58,2019,0.608571325550335
57,59,2019,0.9786527041096671
58,60,2019,0.6779731562370951
59,61,2019,0.4929099726674443
60,62,2019,0.6186151622652323
61,63,2019,0.6214554818535407
62,64,2019,0.57294120169264
63,65,2019,0.5680808742123454
64,66,2019,0.4618735304255381
65,67,2019,0.12581854097549286
66,68,2019,0.9771162611444699
67,69,2019,1.4615390394547683
68,70,2019,0.4938528782380444
69,71,2019,0.6551315740400875
70,72,2019,0.550607184697271
71,73,2019,0.6751256853551977
72,74,2019,1.2481847192377362
73,75,2019,2.7915609993038317
74,76,2019,0.7940926288281985
75,77,2019,0.8750794409352668
76,78,2019,1.1545843542782546
77,79,2019,0.3757037574770892
78,80,2019,0.684995189834379
79,81,2019,0.3787946884288564
80,82,2019,0.5733090256588802
81,83,2019,0.3619122992397109
82,84,2019,0.5498924506922197
83,85,2019,0.5430900729874598
84,86,2019,0.6044705135467516
85,87,2019,0.6301425459858249
86,88,2019,1.5499479294288088
87,89,2019,0.8742540484742891
88,90,2019,0.8838673971123238
89,91,2019,0.9798219565189895
90,92,2019,2.1137123192212246
91,93,2019,1.4116758033419412
92,94,2019,1.3907560042193732
93,95,2019,0.8572667967000395
94,01,2018,0.7355035274943116
95,02,2018,0.729628287115314
96,03,2018,0.7139332413448185
97,04,2018,0.4571796685578508
98,05,2018,0.2797599356875522
99,06,2018,1.2914695321819332
100,07,2018,0.31574790061598146
101,08,2018,0.9858369619616146
102,09,2018,0.27850803785312483
103,10,2018,0.9227305044303176
104,11,2018,0.36181145314697544
105,12,2018,0.2522944246882133
106,13,2018,0.734660765929156
107,14,2018,0.6874530784377144
108,15,2018,0.38659120993941826
109,16,2018,0.32092082214027806
110,17,2018,0.4346812770345526
111,18,2018,0.504837127555504
112,19,2018,0.351154123985286
113,21,2018,1.0155901034881953
114,22,2018,0.4475409879060788
115,23,2018,0.29631538565574034
116,24,2018,0.20680094944404048
117,25,2018,1.0638904989730145
118,26,2018,0.576809603893533
119,27,2018,0.5291561504637837
120,28,2018,0.6536301390494771
121,29,2018,0.3813229835319434
122,30,2018,0.36739787234396937
123,31,2018,1.1376198663253319
124,32,2018,0.2160297555403721
125,33,2018,0.7646556724728036
126,34,2018,0.4831951793798123
127,35,2018,0.7173981640745902
128,36,2018,0.8937909404164659
129,37,2018,0.8898753065986166
130,38,2018,0.93933386120588
131,39,2018,0.9638682193731919
132,40,2018,0.7099934744343278
133,41,2018,0.9697698642737931
134,42,2018,0.8679429911576685
135,43,2018,0.2189515097895911
136,44,2018,0.9102772308147037
137,45,2018,1.0960434195699127
138,46,2018,0.25581963060912943
139,47,2018,0.2502488285794914
140,48,2018,0.1436955687027387
141,49,2018,0.6346127017464261
142,50,2018,0.415634363445428
143,51,2018,1.1660563693261345
144,52,2018,1.2855307801764089
145,53,2018,0.9608017694194684
146,54,2018,0.7717408114094543
147,55,2018,0.7052300267716836
148,56,2018,0.296551809592377
149,57,2018,0.33466239660228153
150,58,2018,0.5772111110702297
151,59,2018,0.9949407491302874
152,60,2018,0.6891580506101006
153,61,2018,0.5010952825602538
154,62,2018,0.5921168858204644
155,63,2018,0.6133306160991965
156,64,2018,0.549841927911859
157,65,2018,0.5983663722319256
158,66,2018,0.4478568672887571
159,67,2018,0.12359496443643066
160,68,2018,0.9647293256715374
161,69,2018,1.4714231270965337
162,70,2018,0.4710647502520665
163,71,2018,0.6433453951830943
164,72,2018,0.553849331648882
165,73,2018,0.6489524051915798
166,74,2018,1.2217759969103603
167,75,2018,2.8818601159785664
168,76,2018,0.796170190871561
169,77,2018,0.8733867019948779
170,78,2018,1.165120399579481
171,79,2018,0.3696545256197685
172,80,2018,0.7030135650272974
173,81,2018,0.3615150210034304
174,82,2018,0.62243918330805
