,department,year,consumption_per_resident
0,01,2019,0.23393757792458503
1,02,2019,0.13514351099197125
2,03,2019,0.11137613032003965
3,04,2019,0.12916064760934923
4,05,2019,0.1633282188610805
5,06,2019,1.2797776785300647
6,07,2019,0.08123914431478903
7,08,2019,0.10559761403236116
8,09,2019,0.04152213275915063
9,10,2019,0.22587179351035294
10,11,2019,0.1886927344319985
11,12,2019,0.12464237723509757
12,13,2019,0.5177075302353321
13,14,2019,0.2840253969807267
14,15,2019,0.11920721998678344
15,16,2019,0.07234772159405224
16,17,2019,0.1682256019435628
17,18,2019,0.10686877020775645
18,19,2019,0.09002443441743171
19,21,2019,0.3499813791409895
20,22,2019,0.08669512304941272
21,23,2019,0.05230602575689595
22,24,2019,0.057989387712635905
23,25,2019,0.26069158891379246
24,26,2019,0.14652546550643145
25,27,2019,0.12298960594986184
26,28,2019,0.10674314889949094
27,29,2019,0.14268405261615838
28,30,2019,0.20747077562672914
29,31,2019,0.5453743276086052
30,32,2019,0.058052214323341796
31,33,2019,0.3053889044806969
32,34,2019,0.4461387464584604
33,35,2019,0.2766724564600801
34,36,2019,0.11038957990331634
35,37,2019,0.27317738454898577
36,38,2019,0.2588681167466781
37,39,2019,0.1366634655282554
38,40,2019,0.16708439335240277
39,41,2019,0.10951963563475131
40,42,2019,0.23859633106503203
41,43,2019,0.06421065727364146
42,44,2019,0.33300020488268334
43,45,2019,0.23263104810310828
44,46,2019,0.03913480831666989
45,47,2019,0.06721877230603464
46,48,2019,0.0750680562629785
47,49,2019,0.19659489598159782
48,50,2019,0.09064247444905177
49,51,2019,0.3069209272689726
50,52,2019,0.10059365757643009
51,53,2019,0.11405007431007398
52,54,2019,0.23970392302301433
53,55,2019,0.074970382293105
54,56,2019,0.1585283502422886
55,57,2019,0.08404015789307843
56,58,2019,0.1144855948303034
57,59,2019,0.21202741944094372
58,60,2019,0.20371111538112321
59,61,2019,0.08545707141469476
60,62,2019,0.10124053965850638
61,63,2019,0.22487139596958722
62,64,2019,0.3115870343727235
63,65,2019,0.22132280299553456
64,66,2019,0.2672165813264895
65,67,2019,0.012255500679441686
66,68,2019,0.15793135163052266
67,69,2019,0.7616301570736382
68,70,2019,0.06639398528867466
69,71,2019,0.13562860198300475
70,72,2019,0.16349647086243382
71,73,2019,0.3293510662095349
72,74,2019,0.48633957416837154
73,75,2019,1.6677791643914455
74,76,2019,0.2867152963468204
75,77,2019,0.356355590235085
76,78,2019,0.5153387206672265
77,79,2019,0.05551395067206229
78,80,2019,0.14787797494180047
79,81,2019,0.088239675819121
80,82,2019,0.1059305853928221
81,83,2019,0.5356305173674326
82,84,2019,0.20425624519245528
83,85,2019,0.11399755656827303
84,86,2019,0.1496321912445049
85,87,2019,0.226762106444864
86,88,2019,0.10595574132151414
87,89,2019,0.13261506080169935
88,90,2019,0.18448432526148248
89,91,2019,0.4332785040625229
90,92,2019,1.0967847758509979
91,93,2019,0.6901935758092799
92,94,2019,0.759739006599168
93,95,2019,0.4823608205951729
94,01,2018,0.23257089553947083
95,02,2018,0.13741133715106696
96,03,2018,0.10892726506832902
97,04,2018,0.12207678086509553
98,05,2018,0.15840059343494842
99,06,2018,1.2789221518841458
100,07,2018,0.07881488936048597
101,08,2018,0.10733346469476507
102,09,2018,0.03902832154014536
103,10,2018,0.22269087533165036
104,11,2018,0.1810620423850944
105,12,2018,0.12295414964331457
106,13,2018,0.5084694953119347
107,14,2018,0.277383343952585
108,15,2018,0.11164789244060326
109,16,2018,0.0730296150821472
110,17,2018,0.16456824282911658
111,18,2018,0.10810789076619522
112,19,2018,0.08784094286339528
113,21,2018,0.3460353735514576
114,22,2018,0.08397533824427122
115,23,2018,0.0522741591655092
116,24,2018,0.057182444963579236
117,25,2018,0.25560683885490093
118,26,2018,0.14255411785691324
119,27,2018,0.1205144697756524
120,28,2018,0.10578512557551098
121,29,2018,0.14270373157007696
122,30,2018,0.20392428649236566
123,31,2018,0.5424048752982462
124,32,2018,0.05677298165640044
125,33,2018,0.3047038262501429
126,34,2018,0.42715738010398036
127,35,2018,0.27158737481855005
128,36,2018,0.11198523028020908
129,37,2018,0.27306663969554296
130,38,2018,0.2561506171047185
131,39,2018,0.1362829958178053
132,40,2018,0.16113121335524935
133,41,2018,0.10926729706529931
134,42,2018,0.23579046061255876
135,43,2018,0.06275677962841866
136,44,2018,0.3257941533062094
137,45,2018,0.23004791823175885
138,46,2018,0.03713278146881965
139,47,2018,0.06647413065884765
140,48,2018,0.07273994697593021
141,49,2018,0.1935691746462691
142,50,2018,0.0827088259204927
143,51,2018,0.30211993109376295
144,52,2018,0.10292950751427647
145,53,2018,0.10711245319443641
146,54,2018,0.23462558362789682
147,55,2018,0.06977569523311518
148,56,2018,0.14994010564419033
149,57,2018,0.08220543573849103
150,58,2018,0.11385147056478861
151,59,2018,0.21281890703503742
152,60,2018,0.20551832111704324
153,61,2018,0.08172101455438444
154,62,2018,0.10034902552740278
155,63,2018,0.22624862692352618
156,64,2018,0.3144935811379889
157,65,2018,0.2163570932961538
158,66,2018,0.24706422938442946
159,67,2018,0.011787756233462109
160,68,2018,0.1552997868921732
161,69,2018,0.7567512022788989
162,70,2018,0.06508517933947937
163,71,2018,0.1330450298067766
164,72,2018,0.16008067886569677
165,73,2018,0.32668615183042904
166,74,2018,0.47613713348562625
167,75,2018,1.7177475100176438
168,76,2018,0.28718586954292497
169,77,2018,0.3519404987221182
170,78,2018,0.5151482405986653
171,79,2018,0.055049738281028465
172,80,2018,0.14758725448890947
173,81,2018,0.08675210066292277
