,region,year,consumption_per_resident
0,11,2019,0.8158944453837867
1,24,2019,0.18024513417702534
2,27,2019,0.1956202928933715
3,28,2019,0.21053023951868358
4,32,2019,0.17097164283380262
5,44,2019,0.13334308783958793
6,52,2019,0.22144833125932997
7,53,2019,0.17941332895449552
8,75,2019,0.1927479514593454
9,76,2019,0.30700939977474534
10,84,2019,0.36795719557754275
11,93,2019,0.6285171739175172
12,11,2018,0.8268126442880009
13,24,2018,0.17962278910675808
14,27,2018,0.19323438674179752
15,28,2018,0.2073771399511887
16,32,2018,0.1715206887269483
17,44,2018,0.13100889523811066
18,52,2018,0.21449563130241628
19,53,2018,0.17534888306199645
20,75,2018,0.1917642460243525
21,76,2018,0.29932786357540464
22,84,2018,0.36429691439214795
23,93,2018,0.6215865925091301
24,11,2020,0.831014234731254
25,24,2020,0.18272790996171728
26,27,2020,0.19824747389185962
27,28,2020,0.21566085327191215
28,32,2020,0.1771741458584362
29,44,2020,0.13490938459181342
30,52,2020,0.22450280990517024
31,53,2020,0.18766632156074858
32,75,2020,0.2010645167087661
33,76,2020,0.3211635897738661
34,84,2020,0.3798052418076743
35,93,2020,0.6510015800739857
36,11,2021,0.8440303768074163
37,24,2021,0.1897677198585339
38,27,2021,0.20418856067385233
39,28,2021,0.21790374739250948
40,32,2021,0.17860893611683085
41,44,2021,0.13919953167142185
42,52,2021,0.23071459106037887
43,53,2021,0.18896946607651424
44,75,2021,0.20266815100302898
45,76,2021,0.3202066270818019
46,84,2021,0.3820218462018849
47,93,2021,0.6433224992840283
48,11,2022,0.7370953078141302
49,24,2022,0.17416749530487996
50,27,2022,0.17891359891633518
51,28,2022,0.1979223681072197
52,32,2022,0.1648409580819263
53,44,2022,0.12791912137470668
54,52,2022,0.21058137516406145
55,53,2022,0.17443447710657886
56,75,2022,0.18923386586293797
57,76,2022,0.30687968007828403
58,84,2022,0.3194390808828731
59,93,2022,0.6015971392365361
60,11,2023,0.7227371017390297
61,24,2023,0.17059727561124474
62,27,2023,0.1757510770131738
63,28,2023,0.19542305028758836
64,32,2023,0.16345870910109836
65,44,2023,0.12572709280284883
66,52,2023,0.2069486774357711
67,53,2023,0.17289935840614265
68,75,2023,0.18498960697529623
69,76,2023,0.29884484379604537
70,84,2023,0.3134519524543406
71,93,2023,0.5789352111710361
